variation_id,stratum,use,ncbi_2023_09,validator,reason_codes
177667,expert_panel,research_summary,admitted,review_required,BEV004
183083,expert_panel,research_summary,admitted,review_required,BEV004
189415,expert_panel,research_summary,admitted,review_required,BEV004
189776,expert_panel,research_summary,admitted,review_required,BEV004
217360,expert_panel,research_summary,admitted,review_required,BEV004
225375,expert_panel,research_summary,admitted,review_required,BEV004
228798,expert_panel,research_summary,admitted,review_required,BEV004
234144,expert_panel,research_summary,admitted,review_required,BEV004
251649,expert_panel,research_summary,admitted,review_required,BEV004
252258,expert_panel,research_summary,admitted,review_required,BEV004
283894,expert_panel,research_summary,admitted,review_required,BEV004
301423,expert_panel,research_summary,admitted,review_required,BEV004
427623,expert_panel,research_summary,admitted,review_required,BEV004
431959,expert_panel,research_summary,admitted,review_required,BEV004
436617,expert_panel,research_summary,admitted,review_required,BEV004
552907,expert_panel,research_summary,admitted,review_required,BEV004
619908,expert_panel,research_summary,admitted,review_required,BEV004
804844,expert_panel,research_summary,admitted,review_required,BEV004
972810,expert_panel,research_summary,admitted,review_required,BEV004
4255,multiple_submitters,research_summary,admitted,review_required,BEV004
16439,multiple_submitters,research_summary,admitted,review_required,BEV004
55214,multiple_submitters,research_summary,admitted,review_required,BEV004
56471,multiple_submitters,research_summary,admitted,review_required,BEV004
189399,multiple_submitters,research_summary,admitted,review_required,BEV004
208273,multiple_submitters,research_summary,admitted,review_required,BEV004
218040,multiple_submitters,research_summary,admitted,review_required,BEV004
245761,multiple_submitters,research_summary,admitted,review_required,BEV004
370139,multiple_submitters,research_summary,admitted,review_required,BEV004
406228,multiple_submitters,research_summary,admitted,review_required,BEV004
431847,multiple_submitters,research_summary,admitted,review_required,BEV004
523914,multiple_submitters,research_summary,admitted,review_required,BEV004
533814,multiple_submitters,research_summary,admitted,review_required,BEV004
551576,multiple_submitters,research_summary,admitted,review_required,BEV004
864303,multiple_submitters,research_summary,admitted,review_required,BEV004
937141,multiple_submitters,research_summary,admitted,review_required,BEV004
970883,multiple_submitters,research_summary,admitted,review_required,BEV004
1003680,multiple_submitters,research_summary,admitted,review_required,BEV004
7109,practice_guideline,research_summary,admitted,review_required,BEV004
21085,single_submitter,research_summary,admitted,review_required,BEV004
189764,single_submitter,research_summary,admitted,review_required,BEV004
242747,single_submitter,research_summary,admitted,review_required,BEV004
268091,single_submitter,research_summary,admitted,review_required,BEV004
381609,single_submitter,research_summary,admitted,review_required,BEV004
543917,single_submitter,research_summary,admitted,review_required,BEV004
577604,single_submitter,research_summary,admitted,review_required,BEV004
637122,single_submitter,research_summary,admitted,review_required,BEV004
694922,single_submitter,research_summary,admitted,review_required,BEV004
